emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
surgical tech,4,WI,MORTGAGE,60000,Source Verified,6.36,NA,,NA,1,6,2000,5,41,8,128705,11292,0,0,52,0,0,0,6,0,8,0,0,4,12200,14,6,6,4,86.8,0,0,debt_consolidation,individual,8500,36,14.08,290.85,C,C3,Jan-18,Current,fractional,Cash,7521.73,1447.6,978.27,469.33,0
renal social worker,3,MN,RENT,58000,Source Verified,21.19,NA,,NA,1,7,2002,0,46,25,118674,101390,0,0,NA,0,0,17,4,NA,25,0,0,4,39400,12,8,4,0,95.1,0,0,debt_consolidation,individual,12000,60,26.3,361.42,E,E5,Feb-18,Fully Paid,fractional,Cash,0,12070.13,12000,70.13,0
operations manager,2,CT,MORTGAGE,90000,Not Verified,7.51,NA,,NA,0,43,1994,1,15,6,204460,19714,0,0,NA,0,156,2,3,2,6,0,0,2,8300,8,3,3,2,80,0,0,debt_consolidation,individual,5000,36,9.43,160.01,B,B1,Feb-18,Current,whole,Cash,4634.99,477.41,365.01,112.4,0
teacher,3,CA,RENT,172000,Not Verified,4.35,NA,,NA,0,NA,2003,2,20,11,57023,27040,0,1,NA,0,0,3,2,2,11,0,0,2,15900,12,8,6,0,100,0,1,debt_consolidation,individual,15000,60,20,397.41,D,D4,Jan-18,Late (31-120 days),whole,Cash,14702.72,761.49,297.28,464.21,0
software architect,8,CA,MORTGAGE,280000,Source Verified,7.35,NA,,NA,0,NA,2000,2,30,12,836703,33648,0,0,NA,0,0,1,4,11,12,0,0,1,131800,18,9,2,1,100,0,0,medical,individual,40000,36,5.31,1204.42,A,A1,Mar-18,Fully Paid,fractional,Cash,0,40210.88456,40000,210.88,0
senior cad drafter,4,CA,OWN,52000,Source Verified,10.11,NA,,NA,0,33,2001,0,15,7,183924,14177,0,0,NA,0,0,1,4,19,7,0,0,3,8000,9,5,5,2,93.3,0,0,credit_card,individual,10000,36,10.91,326.97,B,B4,Jan-18,Current,fractional,Cash,8798.07,1607.58,1201.93,405.65,0
assistant service manager,4,FL,RENT,85000,Not Verified,8.74,NA,,NA,1,15,2013,3,11,9,36992,16124,0,0,NA,0,0,1,7,1,9,0,0,4,11000,9,8,7,0,90.9,0,0,debt_consolidation,individual,9600,36,11.99,318.82,B,B5,Feb-18,Current,whole,Cash,8694.95,1268.89,905.05,363.84,0
studio manager,6,CA,RENT,30000,Not Verified,17.08,NA,,NA,0,NA,1973,3,20,17,50000,4239,0,0,NA,0,0,1,4,3,17,0,0,6,31100,17,16,9,0,100,0,0,house,individual,20000,60,9.43,419.36,B,B1,Mar-18,Current,whole,Cash,19473.55,828.24,526.45,301.79,0
private health aid,2,NJ,RENT,44200,Not Verified,5.1,NA,,NA,0,NA,2008,0,9,7,20400,4428,0,0,NA,0,0,0,2,20,7,0,0,3,15100,8,7,5,0,100,0,0,credit_card,individual,4000,36,5.32,120.46,A,A1,Feb-18,Current,whole,DirectPay,3324.16,740.66,675.84,64.82,0
software developer,2,MN,RENT,52000,Not Verified,34.92,NA,,NA,1,19,2011,1,23,18,106508,68622,0,0,NA,0,0,10,5,7,18,0,0,2,18100,11,8,3,0,95.7,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Jan-18,Current,whole,Cash,9002.87,1248.49,997.13,251.36,0
solution architect senior manager,10,FL,MORTGAGE,192000,Source Verified,13.19,252000,Source Verified,11.22,1,23,2002,2,41,15,612460,56436,0,0,23,0,0,4,7,1,15,0,0,4,6400,28,9,5,5,80.5,0,0,debt_consolidation,joint,20000,60,15.05,476.33,C,C4,Feb-18,Current,whole,Cash,19080.9,1913.69,919.1,994.59,0
manager,10,TX,MORTGAGE,100000,Source Verified,1.54,NA,,NA,1,14,2003,0,34,14,29100,2517,0,0,NA,0,285,0,1,NA,14,0,0,1,20000,26,14,4,1,94.1,0,0,credit_card,individual,2500,36,7.96,78.3,A,A5,Feb-18,Current,whole,Cash,2313.62,233.79,186.38,47.41,0
project manager,0,FL,MORTGAGE,130000,Not Verified,17.28,NA,,NA,0,32,2002,5,26,20,229391,52011,0,0,37,0,292,4,11,1,20,0,0,6,22500,16,14,9,2,88.5,0,0,debt_consolidation,individual,25000,60,15.05,595.41,C,C4,Jan-18,Current,whole,Cash,23554.86,2956.15,1445.14,1511.01,0
creative services manager,0,CA,RENT,90000,Not Verified,7.8,NA,,NA,0,NA,2004,1,7,3,17011,9815,0,0,NA,0,0,1,1,5,3,0,0,2,9800,2,2,2,0,100,0,0,credit_card,individual,10000,36,17.09,356.98,D,D1,Jan-18,Current,whole,Cash,8896.19,1780.15,1103.81,676.34,0
teacher,10,WA,MORTGAGE,67000,Not Verified,32.65,NA,,NA,0,NA,1983,0,26,16,264374,52656,0,0,NA,0,0,2,2,NA,16,0,0,3,44700,17,13,9,5,100,0,0,credit_card,individual,12000,36,11.99,398.52,B,B5,Feb-18,Current,fractional,Cash,10868.7,1534.14,1131.3,402.84,0
,NA,FL,MORTGAGE,55000,Not Verified,26.16,NA,,NA,0,NA,1996,4,42,22,273281,35081,0,0,NA,0,0,3,10,3,22,0,0,5,62200,30,18,7,3,100,0,0,debt_consolidation,individual,15000,60,9.92,318.12,B,B2,Mar-18,Current,whole,DirectPay,14412.81,946.09,587.19,358.9,0
,NA,IN,RENT,35000,Source Verified,21.67,NA,,NA,0,42,2007,1,17,7,35017,19823,0,0,63,0,0,1,0,6,7,0,0,2,8800,9,6,4,0,88.2,0,0,credit_card,individual,5600,36,9.92,180.49,B,B2,Mar-18,Current,fractional,DirectPay,5194.85,538.38,405.15,133.23,0
registered nurse,2,SC,RENT,59789,Not Verified,13.29,NA,,NA,0,NA,2008,3,29,14,80031,59547,0,0,NA,0,0,2,12,1,14,0,0,7,25600,13,11,9,0,100,0,0,debt_consolidation,individual,10000,36,13.59,339.79,C,C2,Feb-18,Current,whole,Cash,9312.65,1059.62,687.35,372.27,0
,NA,NJ,MORTGAGE,45000,Source Verified,11.92,NA,,NA,1,15,2001,0,10,5,173343,11026,1,0,15,0,0,1,0,NA,5,0,0,1,14500,6,3,1,1,77.8,0,0,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,Jan-18,Current,fractional,Cash,8773.94,1595.01,1226.06,368.95,0
senior accountant,3,OR,RENT,65000,Source Verified,35.6,NA,,NA,0,NA,2006,1,33,19,160672,112220,0,1,NA,0,0,6,8,6,19,0,0,10,32700,16,13,12,0,100,0,1,credit_card,individual,10000,36,7.34,310.33,A,A4,Mar-18,Current,whole,Cash,9247.92,918.76,752.08,166.68,0
landscaper ,1,NC,OWN,25000,Source Verified,61.31,100744,Source Verified,30.93,2,5,1996,3,38,11,186959,48432,0,0,5,0,0,2,4,7,11,0,0,3,9800,23,8,4,3,89.5,0,0,credit_card,joint,16000,36,16.01,562.6,C,C5,Mar-18,Current,fractional,Cash,14938.56,1673.57,1061.44,612.13,0
director of sales,3,CO,RENT,140000,Verified,36.66,NA,,NA,0,NA,2001,1,44,24,247849,154494,0,0,NA,0,0,4,4,3,24,0,0,11,109200,24,18,12,0,100,0,0,credit_card,individual,24000,36,10.42,779.16,B,B3,Mar-18,Current,whole,Cash,22272.8,2358.33,1727.2,631.13,0
client service specialist,10,FL,RENT,48000,Source Verified,8.98,NA,,NA,1,13,1996,2,37,9,27634,11004,0,0,NA,0,405,3,4,2,9,0,0,2,8000,28,5,2,1,89.2,0,0,debt_consolidation,individual,18000,36,20,668.95,D,D4,Jan-18,Fully Paid,fractional,Cash,0,18013,18000,13,0
claim services mgr,5,OR,RENT,40000,Verified,25.37,NA,,NA,0,42,2007,0,16,6,32775,18962,0,4,42,0,0,1,3,19,6,0,0,3,17800,7,5,4,1,92.9,4,0,debt_consolidation,individual,25000,36,13.58,849.35,C,C2,Mar-18,Current,whole,Cash,23860.72,1764.72,1139.28,625.44,0
registered nurse,1,OR,RENT,60000,Source Verified,25.4,108000,Source Verified,17.32,0,NA,2007,2,27,10,119006,93001,0,0,NA,0,982,5,8,5,10,0,0,1,13900,8,5,3,0,100,0,0,credit_card,joint,10000,60,12.61,225.54,C,C1,Mar-18,Current,whole,Cash,9634.82,662.61,365.18,297.43,0
director of operations,9,AZ,MORTGAGE,87120,Source Verified,17.48,NA,,NA,0,43,2002,1,10,5,109400,58817,0,0,43,0,0,2,2,0,5,0,0,2,20000,6,3,2,0,70,0,0,debt_consolidation,individual,30000,60,15.05,714.49,C,C4,Feb-18,Fully Paid,whole,Cash,0,31656.50512,30000,1656.51,0
president,10,KY,RENT,235000,Verified,7.81,NA,,NA,0,NA,2005,4,13,4,93921,40075,0,1,NA,0,0,2,0,0,4,0,0,2,23300,4,2,2,0,100,1,0,other,individual,13500,36,7.97,422.86,A,A5,Jan-18,Current,whole,Cash,11811.74,2099.36,1688.26,411.1,0
school counselor ,2,NJ,RENT,70000,Not Verified,20.7,NA,,NA,0,NA,2007,2,42,20,156567,131423,0,0,NA,0,0,12,5,2,20,0,0,4,41600,13,7,4,0,100,0,0,credit_card,individual,5500,36,9.92,177.27,B,B2,Feb-18,Current,whole,Cash,4966.21,706.05,533.79,172.26,0
truck driver,0,TN,RENT,75250,Not Verified,19.41,NA,,NA,1,22,2012,6,24,14,72746,27905,2,0,NA,0,4377,3,7,0,14,0,0,3,17500,18,10,3,0,95.8,0,0,debt_consolidation,individual,5000,36,13.58,169.87,C,C2,Mar-18,Current,whole,Cash,4772.14,351.07,227.86,123.21,0
immigration officer,10,CA,MORTGAGE,115000,Source Verified,16.57,NA,,NA,0,NA,1997,2,41,15,501277,74069,0,0,NA,0,0,2,8,2,15,0,0,3,29000,29,12,8,3,97.6,0,0,debt_consolidation,individual,23000,60,21.45,628.07,D,D5,Jan-18,Current,whole,Cash,21875.8,3112.94,1124.2,1988.74,0
owner/manager,10,FL,RENT,68000,Source Verified,11.56,NA,,NA,0,NA,2006,0,14,8,28006,18247,0,0,NA,0,0,1,3,NA,8,0,0,6,13600,10,7,6,0,100,0,0,debt_consolidation,individual,20000,60,10.9,433.86,B,B4,Mar-18,Current,whole,Cash,19236.53,1277.36,763.47,513.89,0
director of property assets and finance,7,TN,RENT,70000,Source Verified,17.35,NA,,NA,0,NA,2012,0,22,9,97512,61626,0,0,NA,0,0,2,4,23,9,0,0,3,31700,12,7,5,0,100,0,0,other,individual,16000,36,7.96,501.09,A,A5,Mar-18,Current,whole,Cash,14807.25,1489.12,1192.75,296.37,0
senior internal auditor ,1,AL,MORTGAGE,76000,Not Verified,17.12,NA,,NA,0,47,2005,6,40,20,77544,36125,0,0,50,0,0,2,9,1,20,0,0,4,22300,31,18,13,2,90,0,0,credit_card,individual,4800,36,11.99,159.41,B,B5,Jan-18,Current,whole,Cash,4231.5,789.06,568.5,220.56,0
packer handler,10,RI,OWN,70000,Not Verified,25.9,NA,,NA,1,1,1997,4,37,27,251494,50943,0,0,72,0,0,3,9,5,27,0,0,12,51800,29,22,15,2,94.6,0,0,debt_consolidation,individual,24000,36,19.42,884.85,D,D3,Mar-18,Current,whole,Cash,22486.42,2628.66,1513.58,1115.08,0
special education secretary,10,PA,MORTGAGE,51000,Verified,39.27,148000,Source Verified,22.27,0,NA,1992,0,21,14,462123,154329,0,0,NA,0,0,6,3,15,14,0,0,3,48300,8,7,3,5,100,0,0,debt_consolidation,joint,36000,60,10.9,780.94,B,B4,Mar-18,Current,whole,Cash,34625.77,2299.22,1374.23,924.99,0
counselor,3,FL,OWN,142000,Source Verified,11.27,NA,,NA,0,27,1998,2,23,14,188713,50294,0,0,NA,0,0,1,4,9,14,0,0,5,33800,12,12,9,6,95.7,0,0,debt_consolidation,individual,35000,36,7.97,1096.29,A,A5,Jan-18,Current,whole,DirectPay,31510.1,4369.66,3489.9,879.76,0
crane operator,10,MI,OWN,47840,Not Verified,21.83,NA,,NA,0,NA,2001,1,28,17,47150,21592,0,0,NA,0,0,1,5,12,17,0,0,13,28300,23,16,14,0,100,0,0,other,individual,3000,36,7.35,93.12,A,A4,Jan-18,Current,whole,Cash,2698.26,371.26,301.74,69.52,0
property manager ,0,PA,RENT,35000,Not Verified,6.17,NA,,NA,2,9,2002,0,9,5,33200,7932,0,0,9,0,0,1,0,21,5,0,0,2,28500,7,4,2,0,66.7,0,0,credit_card,individual,4800,36,5.31,144.53,A,A1,Mar-18,Current,whole,DirectPay,4196.93,662.17,603.07,59.1,0
manager - solutions architect,10,TX,OWN,120000,Not Verified,7.74,NA,,NA,0,NA,2002,0,12,7,390564,27703,0,0,NA,0,0,1,0,NA,7,0,0,3,29900,7,5,4,2,100,0,0,credit_card,individual,19000,36,6.72,584.24,A,A3,Jan-18,Current,whole,Cash,15994.3,3500.78,3005.7,495.08,0
attorney,1,NY,RENT,90000,Source Verified,32.23,NA,,NA,0,NA,2004,0,14,11,176000,118810,0,0,NA,0,0,6,2,19,11,0,0,5,85500,7,5,5,0,100,0,0,debt_consolidation,individual,17250,60,20,457.02,D,D4,Jan-18,Current,whole,Cash,16373.67,2246.77,876.33,1370.44,0
accountant ,1,NY,RENT,60000,Source Verified,7.32,NA,,NA,0,NA,2008,1,10,4,22600,14545,0,0,NA,0,0,0,2,6,4,0,0,4,22600,7,4,4,0,100,0,0,debt_consolidation,individual,13000,36,10.41,421.99,B,B3,Mar-18,Current,whole,Cash,11703.61,1568.72,1296.39,272.33,0
sheet metal worker/truck driver,10,NY,RENT,48000,Source Verified,15.25,NA,,NA,0,NA,2006,3,6,5,20594,15632,0,0,NA,0,0,2,3,3,5,0,0,3,3600,4,3,3,0,100,0,0,other,individual,15000,60,28.72,473.58,F,F1,Jan-18,Late (31-120 days),whole,Cash,14768.1,923.23,231.9,691.33,0
,NA,AL,MORTGAGE,50000,Verified,59.68,170000,Verified,39.79,2,22,1984,0,39,21,329268,86113,0,0,NA,0,0,1,2,16,21,0,0,5,73000,30,19,8,3,94.9,0,0,debt_consolidation,joint,15000,36,13.59,509.69,C,C2,Jan-18,Fully Paid,whole,Cash,0,15346.19954,15000,346.2,0
account manager,4,MA,OWN,90000,Source Verified,9.84,NA,,NA,1,8,1987,2,42,17,92976,36994,0,0,27,0,6941,2,10,7,17,0,0,6,50300,28,15,11,0,81,0,0,debt_consolidation,individual,10000,60,11.98,222.35,B,B5,Mar-18,Current,whole,DirectPay,9628.77,687.02,371.23,315.79,0
,NA,FL,MORTGAGE,30000,Not Verified,32.52,NA,,NA,0,NA,1999,2,37,26,143128,16362,0,1,NA,0,0,2,10,0,26,0,0,8,36400,30,23,14,3,100,0,1,other,individual,1800,36,7.34,55.86,A,A4,Feb-18,Current,whole,Cash,1618.95,221.97,181.05,40.92,0
lvnurse,10,CA,RENT,50000,Verified,30.51,150000,Verified,16.66,3,14,1997,1,23,14,60641,31307,0,0,27,0,0,2,2,11,14,0,0,2,10000,18,12,5,0,60.9,0,0,debt_consolidation,joint,38000,36,11.99,1261.97,B,B5,Feb-18,Current,fractional,Cash,34417.61,5022.57,3582.39,1440.18,0
driver,2,NY,RENT,60000,Source Verified,21.06,NA,,NA,0,NA,2014,0,5,5,61817,46636,0,0,NA,0,0,1,2,13,5,0,0,2,9500,4,4,4,0,100,0,0,credit_card,individual,10000,36,6.08,304.59,A,A2,Jan-18,Current,whole,DirectPay,8717.45,1519.57,1282.55,237.02,0
contractor,3,CA,RENT,58000,Not Verified,12.91,NA,,NA,0,NA,2005,1,15,10,33226,16457,0,0,NA,0,0,1,9,10,10,0,0,8,20500,14,9,9,0,100,0,0,credit_card,individual,10000,60,18.06,254.27,D,D2,Feb-18,Current,whole,Cash,9575.46,1007.05,424.54,582.51,0
eligibility specialist,2,CO,RENT,64660,Source Verified,25.32,NA,,NA,0,NA,2002,2,29,17,106797,58854,0,0,NA,0,0,1,3,0,17,0,0,4,53400,17,15,9,2,100,0,0,debt_consolidation,individual,30000,36,16.01,1054.86,C,C5,Mar-18,Current,whole,Cash,28682.04,2096.39,1317.96,778.43,0
senior customer care associate,10,IL,MORTGAGE,46280,Source Verified,27.02,NA,,NA,0,63,2006,0,25,9,165012,47412,0,1,63,0,658,4,1,17,9,0,0,4,22300,4,4,4,1,86.4,0,1,credit_card,individual,14000,36,14.07,478.97,C,C3,Feb-18,Current,whole,Cash,13044.42,1425.97,955.58,470.39,0
supervisor,10,CA,OWN,51632,Not Verified,34.38,NA,,NA,0,39,1995,1,19,4,47823,59692,0,0,NA,0,0,1,1,10,4,NA,0,2,6000,9,2,4,4,95,0,0,credit_card,individual,3500,36,13.58,118.91,C,C2,Mar-18,Current,whole,Cash,3259.39,354.09,240.61,113.48,0
plant manager,10,IN,MORTGAGE,111000,Source Verified,16.28,NA,,NA,0,NA,2005,5,21,10,342682,34276,0,0,NA,0,0,4,2,0,10,0,0,2,18000,8,5,3,2,100,0,0,debt_consolidation,individual,10000,36,6.71,307.45,A,A3,Mar-18,Current,whole,Cash,9241.17,914.89,758.83,156.06,0
esthetician,5,WA,RENT,42000,Not Verified,14.89,NA,,NA,0,65,2002,0,9,5,27954,19064,0,0,65,0,242,2,1,16,5,0,0,2,5900,3,3,2,0,77.8,0,0,credit_card,individual,7200,36,11.99,239.11,B,B5,Jan-18,Current,fractional,Cash,6347.28,1190.75,852.72,338.03,0
physician,2,TX,RENT,200000,Verified,8.1,NA,,NA,1,23,1995,2,12,8,1940258,69439,0,0,60,0,0,2,2,4,8,0,0,3,40600,4,4,3,3,80,0,0,debt_consolidation,individual,40000,36,6.72,1229.97,A,A3,Jan-18,Current,whole,Cash,34913.5,6134.92,5086.5,1048.42,0
rc,10,MA,MORTGAGE,38000,Verified,28.54,NA,,NA,0,66,2003,0,29,13,200880,16847,0,0,66,0,0,1,4,15,13,0,0,4,16800,22,11,6,3,86.2,0,0,debt_consolidation,individual,8125,36,14.07,277.97,C,C3,Feb-18,Current,whole,DirectPay,7381.23,1099.18,743.77,355.41,0
partner attorney,9,TX,MORTGAGE,102000,Verified,4.1,NA,,NA,1,23,2004,3,39,10,434000,16168,0,0,47,0,0,1,7,2,10,0,0,5,46000,13,8,5,5,87.2,0,0,home_improvement,individual,24000,36,7.35,744.9,A,A4,Feb-18,Current,whole,Cash,21586.34,2969.8,2413.66,556.14,0
mechanic,10,PA,MORTGAGE,45000,Not Verified,25.39,84000,,25.97,0,NA,1994,1,24,6,191318,41347,0,0,NA,0,0,2,4,9,6,0,0,3,43800,13,3,3,2,100,0,0,credit_card,joint,25000,60,12.62,563.98,C,C1,Jan-18,Current,whole,DirectPay,23462.69,2802.37,1537.31,1265.06,0
,NA,SC,RENT,19200,Verified,10.56,NA,,NA,0,42,2002,1,15,5,14700,6238,0,0,42,0,0,0,3,1,5,0,0,1,7500,5,5,3,0,86.7,0,0,debt_consolidation,individual,8000,36,10.42,259.72,B,B3,Feb-18,Current,whole,Cash,7229.02,1034.25,770.98,263.27,0
production,4,WI,MORTGAGE,80000,Verified,16.2,NA,,NA,0,NA,2005,0,12,8,194922,18920,0,0,NA,0,863,2,3,15,8,0,0,3,17700,5,4,4,1,100,0,0,credit_card,individual,10000,60,13.59,230.57,C,C2,Jan-18,Current,whole,Cash,9399.96,1137.75,600.04,537.71,0
teller,3,TX,RENT,29000,Verified,33.77,NA,,NA,0,NA,2013,0,11,6,41539,22878,0,0,NA,0,0,2,2,15,6,0,0,0,0,3,3,1,0,100,0,0,debt_consolidation,individual,12000,36,20,445.97,D,D4,Feb-18,Current,whole,Cash,10991.25,1770.55,1008.75,761.8,0
assistant professor,1,MS,MORTGAGE,87000,Verified,26.7,NA,,NA,2,8,2004,0,20,11,457555,120128,0,0,8,0,0,6,1,16,11,0,0,3,23900,6,3,3,3,94.1,0,0,credit_card,individual,25000,36,7.35,775.94,A,A4,Feb-18,Current,whole,DirectPay,22485.76,3078.24,2514.24,564,0
teacher,0,IL,RENT,46000,Source Verified,12.99,NA,,NA,0,NA,2012,5,16,16,87000,104325,0,0,NA,0,0,11,6,3,16,0,0,2,6400,5,5,5,0,100,0,0,debt_consolidation,individual,4000,36,17.47,143.55,D,D1,Feb-18,Current,whole,Cash,3740.31,426.77,259.69,167.08,0
welder,3,CA,RENT,48000,Not Verified,20.5,NA,,NA,1,4,2001,1,19,9,41296,32264,0,0,10,0,0,5,3,8,9,0,0,2,5000,11,4,4,0,89.5,0,0,debt_consolidation,individual,5000,36,12.61,167.54,C,C1,Mar-18,Current,whole,Cash,4651.37,495.61,348.63,146.98,0
supervisor,0,MA,MORTGAGE,63000,Not Verified,16.36,NA,,NA,0,NA,2011,0,8,6,263996,13725,0,0,NA,0,0,0,2,15,6,0,0,3,12900,5,4,3,1,100,0,0,debt_consolidation,individual,10000,36,7.96,313.18,A,A5,Mar-18,Current,whole,DirectPay,9254.54,935.12,745.46,189.66,0
customer service agent,10,WA,RENT,48000,Not Verified,12.78,NA,,NA,0,68,2000,0,7,5,43048,21004,0,0,NA,0,0,1,1,23,5,0,0,2,26600,6,4,2,0,85.7,0,0,other,individual,4000,36,9.44,128.02,B,B1,Feb-18,Current,fractional,Cash,3609.21,509.98,390.79,119.19,0
meat and poultry inspector,7,IL,MORTGAGE,60000,Source Verified,26,NA,,NA,0,NA,1997,7,40,16,80053,48604,0,0,NA,0,0,5,8,3,16,0,0,3,7900,11,11,7,1,100,0,0,other,individual,8000,36,21.45,303.26,D,D5,Jan-18,Fully Paid,whole,Cash,0,8376.159735,8000,376.16,0
manager,10,IL,RENT,100000,Source Verified,29.22,NA,,NA,0,36,2005,2,41,13,117091,98224,0,0,36,0,91,4,5,9,13,0,0,4,17400,17,9,6,0,82.1,0,0,debt_consolidation,individual,20000,36,15.04,693.7,C,C4,Mar-18,Current,fractional,Cash,18654.17,2064.39,1345.83,718.56,0
vice president,5,NY,OWN,152000,Not Verified,9.79,NA,,NA,0,56,1994,2,36,8,74800,46999,0,0,56,0,0,1,6,8,8,0,0,4,49300,22,7,5,0,97.1,0,0,other,individual,24000,36,15.05,832.56,C,C4,Jan-18,Current,fractional,Cash,21274.69,4142.73,2725.31,1417.42,0
driver,5,MA,RENT,34113,Source Verified,14.07,NA,,NA,0,NA,2007,0,8,7,22800,14708,0,0,NA,0,0,0,0,NA,7,0,0,5,15300,8,7,7,0,100,0,0,debt_consolidation,individual,15000,60,17.09,373.52,D,D1,Feb-18,Current,whole,Cash,14346.63,1465.6,653.37,812.23,0
manager,10,IL,MORTGAGE,35000,Not Verified,32,NA,,NA,0,NA,2004,2,24,19,49800,18261,1,0,NA,0,261,1,5,7,19,0,0,6,21800,23,18,14,0,100,0,0,debt_consolidation,individual,5000,36,16.01,175.81,C,C5,Mar-18,Current,whole,Cash,4668.31,518.54,331.69,186.85,0
,NA,NY,OWN,90000,Verified,31.77,NA,,NA,0,NA,1971,0,27,15,175947,112789,0,0,NA,0,0,5,0,NA,15,0,0,8,74000,13,10,10,0,100,0,0,other,individual,8000,36,15.05,277.52,C,C4,Feb-18,Current,fractional,Cash,7277.81,1103.39,722.19,381.2,0
sr shelf edge analyst,10,IL,RENT,47000,Not Verified,22.01,NA,,NA,0,NA,2004,1,37,16,104755,84646,0,0,NA,0,0,9,3,6,16,0,0,2,5100,9,7,2,0,100,0,0,medical,individual,12000,60,15.05,285.8,C,C4,Jan-18,Current,whole,Cash,11306.32,1408.93,693.68,715.25,0
concierge specialist,1,HI,RENT,67000,Source Verified,35.03,NA,,NA,0,NA,2001,6,29,8,101841,75067,0,1,NA,0,0,2,5,3,8,0,0,4,35000,14,6,5,0,100,0,1,credit_card,individual,35000,60,16.01,851.32,C,C5,Feb-18,Current,whole,DirectPay,33831.46,2522.83,1168.54,1354.29,0
therapist,9,GA,MORTGAGE,80000,Not Verified,9.58,NA,,NA,0,78,1994,1,25,14,110801,100850,0,0,78,0,0,5,5,8,14,0,0,6,19600,13,8,7,0,100,0,0,credit_card,individual,24000,36,10.91,784.71,B,B4,Mar-18,Current,whole,Cash,22284.97,2397.77,1715.03,682.74,0
maint mannager,3,TX,MORTGAGE,105000,Not Verified,17.05,NA,,NA,0,33,1997,1,33,14,312983,71163,0,1,45,0,0,6,5,12,14,0,0,3,7700,9,7,7,2,57.6,1,0,other,individual,10000,36,9.93,322.35,B,B2,Jan-18,Current,fractional,Cash,8782.01,1606.23,1217.99,388.24,0
federal work-study,4,CO,MORTGAGE,5235,Source Verified,19.5,NA,,NA,0,NA,2014,3,7,6,18300,1900,0,0,NA,0,0,0,6,1,6,0,0,2,10500,7,6,3,0,100,0,0,debt_consolidation,individual,3000,36,10.9,98.08,B,B4,Feb-18,Current,whole,Cash,2094.52,990.5,905.48,85.02,0
loan originator,2,NY,RENT,107000,Not Verified,13.29,NA,,NA,0,NA,2006,0,15,11,71300,39880,0,1,NA,0,0,2,4,NA,11,0,0,4,31100,13,9,6,0,100,0,1,debt_consolidation,individual,20000,60,15.04,476.22,C,C4,Mar-18,Current,whole,Cash,19314.82,1411.95,685.18,726.77,0
technology coordinator ,10,GA,RENT,61582,Not Verified,28.97,NA,,NA,0,NA,2011,6,21,15,112075,74908,0,0,NA,0,0,1,8,3,15,0,0,6,42400,14,14,8,3,100,0,0,moving,individual,15000,60,19.03,389.36,D,D3,Jan-18,Late (16-30 days),whole,Cash,14538.3,1152.22,461.7,690.52,0
cooler service technician,8,CA,RENT,45000,Not Verified,35.68,NA,,NA,0,NA,2001,2,38,20,106434,38711,0,0,NA,0,0,4,6,5,20,0,0,5,45900,28,16,6,0,100,0,0,debt_consolidation,individual,15500,36,9.44,496.08,B,B1,Jan-18,Current,whole,Cash,13599.6,2504.79,1900.4,604.39,0
freelance electrician,4,NY,RENT,36000,Source Verified,30.61,NA,,NA,0,NA,2003,0,15,11,95580,39857,0,0,NA,0,0,7,2,NA,11,0,0,1,14500,6,4,2,0,100,0,0,moving,individual,3000,36,7.35,93.12,A,A4,Jan-18,Current,fractional,Cash,2621.67,462.54,378.33,84.21,0
general maintenance iii,9,PA,RENT,64000,Source Verified,13.33,NA,,NA,0,61,1986,1,15,8,61983,26335,0,0,61,0,0,2,4,4,8,0,0,1,11800,9,6,2,0,93.3,0,0,other,individual,10000,36,7.96,313.18,A,A5,Mar-18,Current,whole,Cash,9254.54,930.7,745.46,185.24,0
,NA,NC,MORTGAGE,36000,Verified,29.73,NA,,NA,0,66,1992,1,15,8,108527,17040,0,1,66,0,0,2,1,10,8,0,0,3,12100,8,5,4,3,86.7,1,0,credit_card,individual,16000,60,23.88,459.18,E,E2,Jan-18,Current,whole,Cash,15267.52,2253.45,732.48,1520.97,0
warehouse manager,10,GA,OWN,98000,Source Verified,24.96,NA,,NA,0,NA,2004,0,33,13,91357,78671,0,0,NA,0,0,5,2,NA,13,0,0,6,22300,16,8,8,0,100,0,0,credit_card,individual,20000,36,18.06,723.66,D,D2,Jan-18,Current,fractional,Cash,17822.13,3578.17,2177.87,1400.3,0
